scene_uuid,scene,IW1_min,IW1_max,IW2_min,IW2_max,IW3_min,IW3_max,Unique_id
a765483f-2694-45ce-91f9-8b9c403f585a,S1A_IW_SLC__1SDV_20221013T002144_20221013T002212_045416_056E53_DBDE,8,9,7,9,0,0,131919
2c7a32e0-907a-4281-83aa-5afb86b63256,S1A_IW_SLC__1SDV_20221013T002210_20221013T002237_045416_056E53_0DED,1,4,1,6,0,0,141919
a4dbb9cf-4a48-4146-9c0d-55c9cffd982c,S1A_IW_SLC__1SDV_20221001T002210_20221001T002237_045241_05686C_7A05,1,4,1,6,0,0,141919
2c528cf8-fa85-4541-8c0c-6d0f2ab22cc3,S1A_IW_SLC__1SDV_20221001T002144_20221001T002212_045241_05686C_9431,8,9,7,9,0,0,131919
23afb152-0182-4333-80b6-e28be5b971c1,S1A_IW_SLC__1SDV_20220919T002144_20220919T002212_045066_056290_01AB,8,9,7,9,0,0,131919
69845167-6185-47c8-8aef-b71c3147268e,S1A_IW_SLC__1SDV_20220919T002209_20220919T002237_045066_056290_E8BE,1,4,1,6,0,0,141919
aeaa1d6b-35f5-4470-8b27-057f60e8c860,S1A_IW_SLC__1SDV_20220907T002144_20220907T002212_044891_055CB2_B88A,8,9,7,9,0,0,131919
0c0f5f47-4837-42f8-957c-4246e6e40cfb,S1A_IW_SLC__1SDV_20220907T002210_20220907T002237_044891_055CB2_BD9D,1,4,1,6,0,0,141919
5d814d73-546c-4b12-b3d7-38995d5aad70,S1A_IW_SLC__1SDV_20220826T002143_20220826T002211_044716_0556C3_0798,8,9,7,9,0,0,131919
757c0cd0-1ed0-42e2-997e-95f5eb8dd800,S1A_IW_SLC__1SDV_20220826T002209_20220826T002236_044716_0556C3_4C51,1,4,1,6,0,0,141919
d12821f3-7a1a-4ba6-9f17-36e7821a39ac,S1A_IW_SLC__1SDV_20220814T002143_20220814T002211_044541_0550DE_3638,8,9,7,9,0,0,131919
524586a9-cb3e-4e52-a9a8-cb458c16701a,S1A_IW_SLC__1SDV_20220814T002208_20220814T002235_044541_0550DE_32D4,1,4,1,6,0,0,141919
f8564e80-82cd-4ef2-971e-15b2762287a7,S1A_IW_SLC__1SDV_20220802T002208_20220802T002235_044366_054B71_C926,1,4,1,6,0,0,141919
3a72fd04-b0e0-4716-88aa-feaadd8cd681,S1A_IW_SLC__1SDV_20220802T002142_20220802T002210_044366_054B71_49DD,8,9,7,9,0,0,131919
8e2d34c6-68d5-4349-9223-0f1d9ce4dc77,S1A_IW_SLC__1SDV_20220721T002141_20220721T002209_044191_05464D_8D03,8,9,7,9,0,0,131919
0dfddb50-343f-4b73-ae9b-412f2c160b64,S1A_IW_SLC__1SDV_20220721T002207_20220721T002234_044191_05464D_9DD1,1,4,1,6,0,0,141919
9c609693-e0a0-447d-a4fe-1486450452bf,S1A_IW_SLC__1SDV_20220709T002138_20220709T002205_044016_054109_B805,9,9,8,9,0,0,81919
60f22269-c527-40c9-88bf-787e9899839b,S1A_IW_SLC__1SDV_20220709T002202_20220709T002229_044016_054109_666D,1,5,1,7,0,0,91919
a100be55-664a-442b-82da-57b345518a3a,S1A_IW_SLC__1SDV_20220627T002202_20220627T002229_043841_053BDB_3094,1,5,1,7,0,0,91919
f6aefd4d-791a-4a3d-9c48-3d2e46cef6ab,S1A_IW_SLC__1SDV_20220627T002137_20220627T002204_043841_053BDB_C33D,9,9,8,9,0,0,81919
6f72b047-4ac3-423c-8d8d-0d9f767d1b42,S1A_IW_SLC__1SDV_20220615T002201_20220615T002228_043666_05369A_8569,1,5,1,7,0,0,91919
75c9c239-9d21-4381-934b-fb683399cb45,S1A_IW_SLC__1SDV_20220615T002136_20220615T002203_043666_05369A_0AF3,9,9,8,9,0,0,81919
12786cd9-8626-4181-a554-57d167703815,S1A_IW_SLC__1SDV_20220603T002136_20220603T002203_043491_053160_F196,9,9,8,9,0,0,81919
733d4cba-fd23-4e14-b989-6a95138f5552,S1A_IW_SLC__1SDV_20220603T002200_20220603T002227_043491_053160_DB2A,1,5,1,7,0,0,91919
